2025-09-14 18:34:03 | INFO | root | Aplicação iniciada
2025-09-14 18:49:38 | INFO | root | sample written: 2025-09-14T18:49:38,100,0,12282,11907,55,92.17
2025-09-14 18:49:40 | INFO | root | sample written: 2025-09-14T18:49:40,100,1,12282,11895,53,58.69
2025-09-14 18:49:42 | INFO | root | sample written: 2025-09-14T18:49:42,92,29,12282,11919,58,133.76
2025-09-14 18:49:44 | INFO | root | sample written: 2025-09-14T18:49:44,95,33,12282,11924,64,107.61
2025-09-14 18:49:46 | INFO | root | sample written: 2025-09-14T18:49:46,98,6,12282,11856,57,123.24
2025-09-14 18:49:48 | INFO | root | sample written: 2025-09-14T18:49:48,100,0,12282,11910,54,58.41
2025-09-14 18:49:50 | INFO | root | sample written: 2025-09-14T18:49:50,100,0,12282,11792,54,111.68
2025-09-14 18:49:52 | INFO | root | sample written: 2025-09-14T18:49:52,9,1,12282,5923,53,88.81
2025-09-14 18:49:54 | INFO | root | sample written: 2025-09-14T18:49:54,16,1,12282,5827,51,31.42
2025-09-14 18:49:56 | INFO | root | sample written: 2025-09-14T18:49:56,39,2,12282,5881,51,24.18
2025-09-14 18:49:58 | INFO | root | sample written: 2025-09-14T18:49:58,0,0,12282,7060,52,48.97
2025-09-14 18:50:00 | INFO | root | sample written: 2025-09-14T18:50:00,97,24,12282,11875,64,156.34
2025-09-14 18:50:02 | INFO | root | sample written: 2025-09-14T18:50:02,89,30,12282,11920,61,163.74
2025-09-14 18:50:04 | INFO | root | sample written: 2025-09-14T18:50:04,100,46,12282,11903,68,160.34
2025-09-14 18:50:06 | INFO | root | sample written: 2025-09-14T18:50:06,100,47,12282,11897,69,150.73
2025-09-14 18:50:08 | INFO | root | sample written: 2025-09-14T18:50:08,75,2,12282,11689,55,64.14
2025-09-14 18:50:10 | INFO | root | sample written: 2025-09-14T18:50:10,100,4,12282,11820,55,63.99
2025-09-14 18:50:12 | INFO | root | sample written: 2025-09-14T18:50:12,100,20,12282,11777,63,75.73
2025-09-14 18:50:14 | INFO | root | sample written: 2025-09-14T18:50:14,95,3,12282,11875,61,62.57
2025-09-14 18:50:16 | INFO | root | sample written: 2025-09-14T18:50:16,90,27,12282,11849,63,108.87
2025-09-14 18:50:18 | INFO | root | sample written: 2025-09-14T18:50:18,100,1,12282,11904,55,67.01
2025-09-14 18:50:20 | INFO | root | sample written: 2025-09-14T18:50:20,100,1,12282,11907,54,67.94
2025-09-14 18:50:22 | INFO | root | sample written: 2025-09-14T18:50:22,89,7,12282,11901,55,99.41
2025-09-14 18:50:24 | INFO | root | sample written: 2025-09-14T18:50:24,99,1,12282,11809,54,63.40
2025-09-14 18:50:26 | INFO | root | sample written: 2025-09-14T18:50:26,100,1,12282,11799,54,69.61
2025-09-14 18:50:28 | INFO | root | sample written: 2025-09-14T18:50:28,100,1,12282,11799,55,100.51
2025-09-14 18:50:30 | INFO | root | sample written: 2025-09-14T18:50:30,87,54,12282,11890,58,85.73
2025-09-14 18:50:32 | INFO | root | sample written: 2025-09-14T18:50:32,70,35,12282,11869,62,76.45
2025-09-14 18:50:34 | INFO | root | sample written: 2025-09-14T18:50:34,81,28,12282,11884,64,149.98
2025-09-14 18:50:36 | INFO | root | sample written: 2025-09-14T18:50:36,100,1,12282,11842,57,82.50
2025-09-14 18:50:38 | INFO | root | sample written: 2025-09-14T18:50:38,79,38,12282,11844,68,159.84
2025-09-14 18:50:40 | INFO | root | sample written: 2025-09-14T18:50:40,100,1,12282,11868,57,98.07
2025-09-14 18:50:42 | INFO | root | sample written: 2025-09-14T18:50:42,100,1,12282,11915,59,92.93
2025-09-14 18:50:44 | INFO | root | sample written: 2025-09-14T18:50:44,100,2,12282,11900,59,117.94
2025-09-14 18:50:46 | INFO | root | sample written: 2025-09-14T18:50:46,100,1,12282,11902,61,123.52
2025-09-14 18:50:48 | INFO | root | sample written: 2025-09-14T18:50:48,100,1,12282,11833,59,119.54
2025-09-14 18:50:50 | INFO | root | sample written: 2025-09-14T18:50:50,100,1,12282,11860,55,61.79
2025-09-14 18:50:52 | INFO | root | sample written: 2025-09-14T18:50:52,97,1,12282,11836,55,63.37
2025-09-14 18:50:54 | INFO | root | sample written: 2025-09-14T18:50:54,100,1,12282,11831,55,61.72
2025-09-14 18:50:56 | INFO | root | sample written: 2025-09-14T18:50:56,93,14,12282,11817,66,125.82
2025-09-14 18:50:58 | INFO | root | sample written: 2025-09-14T18:50:58,90,5,12282,11827,60,145.99
2025-09-14 18:51:00 | INFO | root | sample written: 2025-09-14T18:51:00,86,29,12282,11840,61,75.74
2025-09-14 18:51:02 | INFO | root | sample written: 2025-09-14T18:51:02,91,47,12282,11853,67,171.58
2025-09-14 18:51:04 | INFO | root | sample written: 2025-09-14T18:51:04,100,0,12282,11830,59,110.79
2025-09-14 18:51:06 | INFO | root | sample written: 2025-09-14T18:51:06,100,5,12282,11874,67,128.14
2025-09-14 18:51:08 | INFO | root | sample written: 2025-09-14T18:51:08,89,34,12282,11877,61,142.53
2025-09-14 18:51:10 | INFO | root | sample written: 2025-09-14T18:51:10,100,2,12282,11871,58,80.12
2025-09-14 18:51:12 | INFO | root | sample written: 2025-09-14T18:51:12,100,2,12282,11853,57,129.61
2025-09-14 18:51:14 | INFO | root | sample written: 2025-09-14T18:51:14,100,4,12282,11854,62,72.31
2025-09-14 18:51:16 | INFO | root | sample written: 2025-09-14T18:51:16,100,2,12282,11832,65,128.88
2025-09-14 18:51:18 | INFO | root | sample written: 2025-09-14T18:51:18,97,27,12282,11856,59,143.73
2025-09-14 18:51:20 | INFO | root | sample written: 2025-09-14T18:51:20,93,14,12282,11863,59,83.29
2025-09-14 18:51:22 | INFO | root | sample written: 2025-09-14T18:51:22,100,1,12282,11908,57,137.30
2025-09-14 18:51:24 | INFO | root | sample written: 2025-09-14T18:51:24,100,2,12282,11911,60,106.90
2025-09-14 18:51:26 | INFO | root | sample written: 2025-09-14T18:51:26,100,2,12282,11901,56,70.36
2025-09-14 18:51:28 | INFO | root | sample written: 2025-09-14T18:51:28,97,1,12282,11913,56,98.18
2025-09-14 18:51:30 | INFO | root | sample written: 2025-09-14T18:51:30,100,16,12282,11900,68,86.90
2025-09-14 18:51:32 | INFO | root | sample written: 2025-09-14T18:51:32,100,2,12282,11887,60,125.47
2025-09-14 18:51:34 | INFO | root | sample written: 2025-09-14T18:51:34,100,1,12282,11885,58,84.77
2025-09-14 18:51:36 | INFO | root | sample written: 2025-09-14T18:51:36,96,9,12282,11891,58,138.18
2025-09-14 18:51:38 | INFO | root | sample written: 2025-09-14T18:51:38,95,1,12282,11903,57,75.96
2025-09-14 18:51:40 | INFO | root | sample written: 2025-09-14T18:51:40,92,10,12282,11887,56,85.44
2025-09-14 18:51:42 | INFO | root | sample written: 2025-09-14T18:51:42,100,1,12282,11929,55,70.71
2025-09-14 18:51:44 | INFO | root | sample written: 2025-09-14T18:51:44,100,1,12282,11882,56,72.87
2025-09-14 18:51:46 | INFO | root | sample written: 2025-09-14T18:51:46,100,2,12282,11922,56,71.26
2025-09-14 18:51:48 | INFO | root | sample written: 2025-09-14T18:51:48,95,1,12282,11928,55,70.13
2025-09-14 18:51:50 | INFO | root | sample written: 2025-09-14T18:51:50,91,18,12282,11884,65,143.89
2025-09-14 18:51:52 | INFO | root | sample written: 2025-09-14T18:51:52,100,2,12282,11873,56,67.50
2025-09-14 18:51:54 | INFO | root | sample written: 2025-09-14T18:51:54,100,2,12282,11840,55,66.88
2025-09-14 18:51:56 | INFO | root | sample written: 2025-09-14T18:51:56,100,2,12282,11887,55,77.38
2025-09-14 18:51:58 | INFO | root | sample written: 2025-09-14T18:51:58,98,9,12282,11917,57,95.87
2025-09-14 18:52:00 | INFO | root | sample written: 2025-09-14T18:52:00,95,5,12282,11903,55,74.04
